house_bill|regionName|time_label
297368525276|ECHO|DAY
297549123668|ALFA|DAY
297624185239|ECHO|DAY
297740950639|ECHO|DAY
297757408777|ALFA|DAY
297912779746|ECHO|DAY
297966689476|ALFA|DAY
306379802270|ECHO|DAY
348635975461|ECHO|DAY
349152459234|ALFA|DAY
349475584621|ECHO|DAY
349475584630|ECHO|DAY
349475584649|ECHO|DAY
349475584658|ECHO|DAY
349475584667|ECHO|DAY
349475584676|ECHO|DAY
349475584685|ECHO|DAY
349475584694|ECHO|DAY
349475584709|ECHO|DAY
349475584718|ECHO|DAY
349543525774|ECHO|DAY
356241274244|ALFA|DAY
356241274253|ALFA|DAY
356241442654|ALFA|DAY
361038444648|ECHO|DAY
361356873082|ECHO|DAY
361410325133|ECHO|DAY
361459912714|ECHO|DAY
361459912723|ECHO|DAY
361469856841|ECHO|DAY
362101621677|ECHO|DAY
362428822518|DELTA|DAY
362438988658|ALFA|DAY
362438989495|ALFA|DAY
362552775701|ALFA|DAY
362564059972|ALFA|DAY
362771781566|ECHO|DAY
362944245278|CHARLIE|DAY
363287688402|ALFA|DAY
363305015908|ALFA|DAY
363897046252|ECHO|DAY
365530583037|ECHO|DAY
365612313920|ECHO|DAY
365866767284|ECHO|DAY
365892208003|ALFA|DAY
365892213899|ALFA|DAY
365912688125|ECHO|DAY
365912688134|ECHO|DAY
365912688143|ECHO|DAY
365912688152|ECHO|DAY
365912688161|ECHO|DAY
365912688170|ECHO|DAY
365912688189|ECHO|DAY
367628743842|ECHO|DAY
367628743851|ECHO|DAY
368206121819|ECHO|DAY
368722090599|ECHO|DAY
368930894910|ECHO|DAY
369671606229|ECHO|DAY
438475836521|ECHO|DAY
438746076638|ALFA|DAY
438980453342|ECHO|DAY
440432181773|ECHO|DAY
440728372681|ECHO|DAY
440728397315|ECHO|DAY
441106771906|CHARLIE|DAY
441297084649|ALFA|DAY
441399690565|ECHO|DAY
441562228232|ALFA|DAY
441980174208|ECHO|DAY
441980185417|ECHO|DAY
442011060017|ALFA|DAY
442045254783|ECHO|DAY
442048341482|ALFA|DAY
442048345287|ALFA|DAY
442074796841|ALFA|DAY
446060714422|ECHO|DAY
446267496283|ECHO|DAY
446926458911|ECHO|DAY
447025082028|ECHO|DAY
447034576554|ECHO|DAY
447038731218|ALFA|DAY
447054466659|ECHO|DAY
447062933012|ALFA|DAY
465267616558|ECHO|DAY
465677452973|ALFA|DAY
465981125493|ECHO|DAY
467656763122|ECHO|DAY
544227169948|ALFA|DAY
644012938500|ALFA|DAY
644012963693|ECHO|DAY
662728211295|ALFA|DAY
664197905546|ALFA|DAY
664199239317|ECHO|DAY
801281743316|ALFA|DAY
803235156581|ALFA|DAY
803700711192|ECHO|DAY
803719486222|ECHO|DAY
803729148352|ECHO|DAY
810011496913|CHARLIE|DAY
811227703347|ALFA|DAY
811263739493|ALFA|DAY
811441528892|ALFA|DAY
820635161373|ALFA|DAY
881018457069|ALFA|DAY
881056491632|ALFA|DAY
884080289326|ECHO|DAY
884122142376|ALFA|DAY
884320256003|ECHO|DAY
884391531701|ECHO|DAY
884420124974|ECHO|DAY
884558453035|ALFA|DAY
884643280211|ECHO|DAY
884654372433|ECHO|DAY
885173807393|ECHO|DAY
902046775842|ECHO|DAY
953020023684|ECHO|DAY
953022045596|ECHO|DAY
953079029893|ALFA|DAY
953081721420|ECHO|DAY
953081722115|ECHO|DAY
953087615460|ECHO|DAY
953093985460|ALFA|DAY
953102507085|ECHO|DAY
953110297710|ECHO|DAY
953141405373|ECHO|DAY
953141862521|ALFA|DAY
953161856501|ECHO|DAY
953166745902|ALFA|DAY
953166745911|ALFA|DAY
953166745920|ALFA|DAY
953166746102|ALFA|DAY
953166746120|ALFA|DAY
953166746139|ALFA|DAY
953168081699|ECHO|DAY
953225578782|ECHO|DAY
953232224078|ECHO|DAY
953233540443|ECHO|DAY
953245304221|ECHO|DAY
953263424268|ALFA|DAY
953297193199|ECHO|DAY
953297463138|ECHO|DAY
953297511650|ECHO|DAY
953313024808|ALFA|DAY
953323591332|ALFA|DAY
953324952459|ALFA|DAY
953342525706|ECHO|DAY
953357026981|ECHO|DAY
953360414778|ALFA|DAY
953374279297|ALFA|DAY
953385770872|ALFA|DAY
953386393311|ECHO|DAY
953410532777|ECHO|DAY
953418886735|ECHO|DAY
SF1001595446859|ECHO|DAY
SF1002685911715|DELTA|DAY
SF1003713524534|ECHO|DAY
SF1003765341992|ALFA|DAY
SF1003790175533|ECHO|DAY
SF1003971531089|ECHO|DAY
SF1004242987696|ECHO|DAY
SF1004286228530|ALFA|DAY
SF1004461697501|ECHO|DAY
SF1004598786186|ALFA|DAY
SF1004606022797|ECHO|DAY
SF1004615181248|CHARLIE|DAY
SF1004670166567|ECHO|DAY
SF1004719959173|ECHO|DAY
SF1004754166923|ECHO|DAY
SF1004799984737|ALFA|DAY
SF1004849018584|ALFA|DAY
SF1004934409107|ECHO|DAY
SF1005023901160|ALFA|DAY
SF1005132745054|ECHO|DAY
SF1005170928030|ECHO|DAY
SF1005303857052|ECHO|DAY
SF1005312173472|ALFA|DAY
SF1005497212842|ALFA|DAY
SF1005543985881|ECHO|DAY
SF1005576789517|ECHO|DAY
SF1005627001074|ALFA|DAY
SF1005698438150|ECHO|DAY
SF1005746812652|ECHO|DAY
SF1005843277418|ECHO|DAY
SF1006064272842|ALFA|DAY
SF1006270354882|ECHO|DAY
SF1006529342601|ECHO|DAY
SF1006578334882|ECHO|DAY
SF1006766999160|ECHO|DAY
SF1006839781693|ECHO|DAY
SF1006846225961|ALFA|DAY
SF1007037758094|ECHO|DAY
SF1007193930266|ECHO|DAY
SF1007216682489|ECHO|DAY
SF1007264788716|ECHO|DAY
SF1007392907667|ALFA|DAY
SF1007453165775|ECHO|DAY
SF1007523560991|ECHO|DAY
SF1007562927399|ECHO|DAY
SF1007576434418|ECHO|DAY
SF1007618544073|ECHO|DAY
SF1007625149651|ECHO|DAY
SF1007639389075|ALFA|DAY
SF1007643680511|ECHO|DAY
SF1007676627113|ALFA|DAY
SF1007699534611|ECHO|DAY
SF1007712268017|ECHO|DAY
SF1007752979267|ECHO|DAY
SF1007770716607|ALFA|DAY
SF1007832002426|ECHO|DAY
SF1007880538593|ECHO|DAY
SF1007910323566|ECHO|DAY
SF1007939722371|ECHO|DAY
SF1007961644226|ECHO|DAY
SF1007968197457|ECHO|DAY
SF1007972801941|ECHO|DAY
SF1007985509286|ALFA|DAY
SF1007994238055|ALFA|DAY
SF1008007617464|ECHO|DAY
SF1008114637289|ALFA|DAY
SF1008147167171|ECHO|DAY
SF1008282008079|ECHO|DAY
SF1008293774577|ECHO|DAY
SF1008314924086|ECHO|DAY
SF1008353281840|ECHO|DAY
SF1008446427932|ALFA|DAY
SF1008451426439|ALFA|DAY
SF1008455426538|ECHO|DAY
SF1008470087219|ECHO|DAY
SF1008470341850|ECHO|DAY
SF1008473564066|ECHO|DAY
SF1008476138547|ECHO|DAY
SF1008478319244|ECHO|DAY
SF1008478553255|ECHO|DAY
SF1008489971864|ECHO|DAY
SF1008516229938|ALFA|DAY
SF1008523038714|ECHO|DAY
SF1008526795253|ECHO|DAY
SF1008531277818|ALFA|DAY
SF1008536842402|ECHO|DAY
SF1008543553386|ECHO|DAY
SF1008553365859|ECHO|DAY
SF1008555278039|ECHO|DAY
SF1008556464424|ECHO|DAY
SF1008560557433|ALFA|DAY
SF1008563635081|ALFA|DAY
SF1008563699417|ECHO|DAY
SF1008570765025|ALFA|DAY
SF1008577871123|ECHO|DAY
SF1008588584353|ECHO|DAY
SF1008588917606|ALFA|DAY
SF1008598724964|ECHO|DAY
SF1008605244038|ALFA|DAY
SF1008608262992|ECHO|DAY
SF1008614114233|ECHO|DAY
SF1008618104675|ECHO|DAY
SF1008624983091|ECHO|DAY
SF1008629691368|ECHO|DAY
SF1008632339466|ECHO|DAY
SF1008635305553|ECHO|DAY
SF1008647424402|ALFA|DAY
SF1008648488102|ECHO|DAY
SF1008648792983|ECHO|DAY
SF1008649377159|ECHO|DAY
SF1008651469166|ALFA|DAY
SF1008654103927|ECHO|DAY
SF1008655545005|ALFA|DAY
SF1008655873959|ECHO|DAY
SF1008661015878|ECHO|DAY
SF1008672642220|ECHO|DAY
SF1008672922400|ALFA|DAY
SF1008675630365|ECHO|DAY
SF1008677495482|ECHO|DAY
SF1008679750210|ALFA|DAY
SF1008681009292|ECHO|DAY
SF1008688140446|ECHO|DAY
SF1008689397429|ECHO|DAY
SF1008689407640|ALFA|DAY
SF1008692126825|ECHO|DAY
SF1008700293418|ECHO|DAY
SF1008701825931|ALFA|DAY
SF1008702277233|ECHO|DAY
SF1008702380445|ECHO|DAY
SF1008704084606|ECHO|DAY
SF1008704512287|ECHO|DAY
SF1008705901075|ALFA|DAY
SF1008706908269|ECHO|DAY
SF1008707934390|ECHO|DAY
SF1008709430961|ECHO|DAY
SF1008711262871|ECHO|DAY
SF1008711640001|ECHO|DAY
SF1008711954029|ECHO|DAY
SF1008712466601|ECHO|DAY
SF1008713121495|ALFA|DAY
SF1008716522290|ECHO|DAY
SF1008717430316|ALFA|DAY
SF1008720245224|ECHO|DAY
SF1008722867611|ECHO|DAY
SF1008724745599|ECHO|DAY
SF1008729958355|ECHO|DAY
SF1008730823571|ECHO|DAY
SF1008732604212|ECHO|DAY
SF1008733837618|ALFA|DAY
SF1008733986005|ALFA|DAY
SF1008734360744|ECHO|DAY
SF1008735881576|ECHO|DAY
SF1008737822633|ECHO|DAY
SF1008739784792|ECHO|DAY
SF1008740276192|ECHO|DAY
SF1008740295535|ECHO|DAY
SF1008742121051|ECHO|DAY
SF1008742467949|ECHO|DAY
SF1008745794346|ALFA|DAY
SF1008747201911|ECHO|DAY
SF1008747214422|ECHO|DAY
SF1008747411696|ALFA|DAY
SF1008749097605|ECHO|DAY
SF1008750621500|ECHO|DAY
SF1008750732181|ECHO|DAY
SF1008751671776|ECHO|DAY
SF1008752821136|ECHO|DAY
SF1008753144478|ECHO|DAY
SF1008754493359|ALFA|DAY
SF1008756415434|ECHO|DAY
SF1008756519918|ECHO|DAY
SF1008756744985|ECHO|DAY
SF1008757818735|ALFA|DAY
SF1008758511257|ALFA|DAY
SF1008760701229|ECHO|DAY
SF1008760710175|ALFA|DAY
SF1008762129138|ECHO|DAY
SF1008762920861|ECHO|DAY
SF1008763048065|ECHO|DAY
SF1008763360116|ECHO|DAY
SF1008763959460|ECHO|DAY
SF1008764764255|ECHO|DAY
SF1008765704407|ALFA|DAY
SF1008766090601|ECHO|DAY
SF1008766811645|ECHO|DAY
SF1008766988457|ECHO|DAY
SF1008768938706|ALFA|DAY
SF1008769310583|ALFA|DAY
SF1008769443811|ECHO|DAY
SF1008773493785|ECHO|DAY
SF1008773550631|ECHO|DAY
SF1008773579885|ECHO|DAY
SF1008776161095|ECHO|DAY
SF1008776319063|ECHO|DAY
SF1008777122177|ECHO|DAY
SF1008777658596|ECHO|DAY
SF1008778062516|ECHO|DAY
SF1008778724599|ECHO|DAY
SF1008779803543|ECHO|DAY
SF1008780500313|ECHO|DAY
SF1008780785854|ECHO|DAY
SF1008782196617|ALFA|DAY
SF1008783299036|ECHO|DAY
SF1008784041285|ALFA|DAY
SF1008784222497|ALFA|DAY
SF1008784385980|ALFA|DAY
SF1008784432162|ALFA|DAY
SF1008784517725|ALFA|DAY
SF1008784961571|ECHO|DAY
SF1008785013585|ECHO|DAY
SF1008785352022|ECHO|DAY
SF1008785813770|ECHO|DAY
SF1008786005613|ALFA|DAY
SF1008788306165|ALFA|DAY
SF1008790634738|ALFA|DAY
SF1008793522362|ECHO|DAY
SF1008797026024|ALFA|DAY
SF1008797371477|ECHO|DAY
SF1008799149685|ECHO|DAY
SF1008799214597|ECHO|DAY
SF1008802756023|ECHO|DAY
SF1008803190924|ALFA|DAY
SF1008803961386|ALFA|DAY
SF1008804639416|ECHO|DAY
SF1008805819853|ECHO|DAY
SF1008805874360|ALFA|DAY
SF1008805987814|ALFA|DAY
SF1008806515369|ECHO|DAY
SF1008808169018|ECHO|DAY
SF1008810362858|ECHO|DAY
SF1008811173342|ALFA|DAY
SF1008811668571|ECHO|DAY
SF1008812854481|ALFA|DAY
SF1008813109453|ECHO|DAY
SF1008813839284|ALFA|DAY
SF1008814612425|ECHO|DAY
SF1008814822349|ALFA|DAY
SF1008815131811|ECHO|DAY
SF1008815332048|ECHO|DAY
SF1008815723218|ECHO|DAY
SF1008815751094|ECHO|DAY
SF1008816572938|ECHO|DAY
SF1008817510263|ECHO|DAY
SF1008817797697|ECHO|DAY
SF1008820575754|ECHO|DAY
SF1008821198061|ECHO|DAY
SF1008823685318|ALFA|DAY
SF1008825588768|ECHO|DAY
SF1008828207981|ECHO|DAY
SF1008828533371|ECHO|DAY
SF1008829767374|ECHO|DAY
SF1008830489575|ECHO|DAY
SF1008831271548|ECHO|DAY
SF1008832041972|ALFA|DAY
SF1008834053679|ECHO|DAY
SF1008836131520|ECHO|DAY
SF1008836363323|ECHO|DAY
SF1008838130391|ECHO|DAY
SF1008838535888|ECHO|DAY
SF1008838696222|ECHO|DAY
SF1008839226597|ECHO|DAY
SF1008842161636|ALFA|DAY
SF1008842493623|ECHO|DAY
SF1008844025976|ECHO|DAY
SF1008844033087|ECHO|DAY
SF1008844244164|ECHO|DAY
SF1008845529106|ALFA|DAY
SF1008848606396|ALFA|DAY
SF1008849325622|ECHO|DAY
SF1008850327864|ECHO|DAY
SF1008850448615|ECHO|DAY
SF1008850874950|ECHO|DAY
SF1008851628132|ECHO|DAY
SF1008852136197|ALFA|DAY
SF1008852578044|ECHO|DAY
SF1008853005775|ECHO|DAY
SF1008853200482|ALFA|DAY
SF1008853734327|ALFA|DAY
SF1008856498738|ECHO|DAY
SF1008856724170|ECHO|DAY
SF1008857044136|ECHO|DAY
SF1008860578248|ECHO|DAY
SF1008861250157|ECHO|DAY
SF1008862042964|ALFA|DAY
SF1008862306618|ALFA|DAY
SF1008862579733|ECHO|DAY
SF1008869459161|ECHO|DAY
SF1008870221338|ECHO|DAY
SF1008872171099|ECHO|DAY
SF1008872625280|ECHO|DAY
SF1008872709644|ECHO|DAY
SF1008872816088|ECHO|DAY
SF1008873053830|ECHO|DAY
SF1008873546578|ECHO|DAY
SF1008873571907|ECHO|DAY
SF1008875875683|ECHO|DAY
SF1008878012536|ALFA|DAY
SF1008878611242|ALFA|DAY
SF1008879602993|ALFA|DAY
SF1008880874735|ECHO|DAY
SF1008882323814|ECHO|DAY
SF1008882600524|ECHO|DAY
SF1008883112321|ECHO|DAY
SF1008883602197|ECHO|DAY
SF1008883964206|ECHO|DAY
SF1008884240909|ECHO|DAY
SF1008884311389|ECHO|DAY
SF1008884358006|ECHO|DAY
SF1008884481409|ECHO|DAY
SF1008884754257|ECHO|DAY
SF1008885887308|ECHO|DAY
SF1008886877243|ECHO|DAY
SF1008888438659|ECHO|DAY
SF1008889376330|ECHO|DAY
SF1008891578003|ALFA|DAY
SF1008892048898|ECHO|DAY
SF1008892061634|ALFA|DAY
SF1008894036980|ECHO|DAY
SF1008894938935|ECHO|DAY
SF1008895349137|ECHO|DAY
SF1008896976129|ECHO|DAY
SF1008897152300|ECHO|DAY
SF1008898281965|ECHO|DAY
SF1008901204347|ECHO|DAY
SF1008901397518|ECHO|DAY
SF1008902779802|ECHO|DAY
SF1008905380164|ECHO|DAY
SF1008905773014|ECHO|DAY
SF1008907247303|ECHO|DAY
SF1008907774590|ECHO|DAY
SF1008908081366|ECHO|DAY
SF1008910452762|ALFA|DAY
SF1008911697896|ECHO|DAY
SF1008912431511|ECHO|DAY
SF1008912775689|ECHO|DAY
SF1008913133157|ECHO|DAY
SF1008914161144|ALFA|DAY
SF1008915613317|ECHO|DAY
SF1008916938074|ALFA|DAY
SF1008917020568|ECHO|DAY
SF1008917332145|ECHO|DAY
SF1008919016444|ECHO|DAY
SF1008919711868|ALFA|DAY
SF1008921446966|ECHO|DAY
SF1008921810247|ECHO|DAY
SF1008923276456|ECHO|DAY
SF1008923314887|ECHO|DAY
SF1008923898759|ECHO|DAY
SF1008926653831|ECHO|DAY
SF1008931267528|ECHO|DAY
SF1008931775152|ECHO|DAY
SF1008932113263|ECHO|DAY
SF1008935738448|ALFA|DAY
SF1008936157526|ECHO|DAY
SF1008937857860|ECHO|DAY
SF1008938603540|ALFA|DAY
SF1008939831158|ECHO|DAY
SF1008940812391|ECHO|DAY
SF1008941070056|ECHO|DAY
SF1008941882252|ALFA|DAY
SF1008942304666|ECHO|DAY
SF1008942953276|ECHO|DAY
SF1008943729353|ECHO|DAY
SF1008944299417|ECHO|DAY
SF1008946468624|ECHO|DAY
SF1008946558100|ALFA|DAY
SF1008946577669|ALFA|DAY
SF1008946770949|ALFA|DAY
SF1008946860576|ECHO|DAY
SF1008949633798|ECHO|DAY
SF1008950547032|ECHO|DAY
SF1008950795413|ECHO|DAY
SF1008951752967|ECHO|DAY
SF1008952130500|ECHO|DAY
SF1008954319063|ECHO|DAY
SF1008954618696|ALFA|DAY
SF1008961369215|ECHO|DAY
SF1009392096751|ECHO|DAY
SF1009405398526|ECHO|DAY
SF1009455308985|ECHO|DAY
SF1009478498848|ECHO|DAY
SF1009485475182|ECHO|DAY
SF1009487251698|ECHO|DAY
SF1009487253397|ECHO|DAY
SF1009487256318|ECHO|DAY
SF1009490931648|ECHO|DAY
SF1009491067127|ECHO|DAY
SF1009491946013|ECHO|DAY
SF1009496313562|ECHO|DAY
SF1009497667092|ECHO|DAY
SF1009506762976|ECHO|DAY
SF1009513215098|ECHO|DAY
SF1009523605559|ECHO|DAY
SF1009524418817|ALFA|DAY
SF1009534542170|ECHO|DAY
SF1009536729058|ECHO|DAY
SF1009537178848|ECHO|DAY
SF1009537863825|ECHO|DAY
SF1009538046585|ECHO|DAY
SF1009538354243|ECHO|DAY
SF1009542832907|ALFA|DAY
SF1009563457456|ALFA|DAY
SF1009587426979|ECHO|DAY
SF1009590468473|ECHO|DAY
SF1009594122319|ALFA|DAY
SF1009596111779|ECHO|DAY
SF1009603519154|ALFA|DAY
SF1009621327639|ECHO|DAY
SF1009666810268|ECHO|DAY
SF1009669676493|ECHO|DAY
SF1009674478821|ECHO|DAY
SF1009699229696|ECHO|DAY
SF1009714648279|ECHO|DAY
SF1009733451565|ECHO|DAY
SF1009752009843|ALFA|DAY
SF1009806688031|ECHO|DAY
SF1009839932722|ECHO|DAY
SF1009874237754|ECHO|DAY
SF1012802644961|ECHO|DAY
SF1012849224752|ECHO|DAY
SF1012880483887|ECHO|DAY
SF1013033733423|ECHO|DAY
SF1013075851649|ECHO|DAY
SF1013158735542|ECHO|DAY
SF1013326377881|ECHO|DAY
SF1013883980312|ECHO|DAY
SF1013901302086|ECHO|DAY
SF1014148041621|ECHO|DAY
SF1014358431543|ECHO|DAY
SF1014590849866|ECHO|DAY
SF1014643133837|ECHO|DAY
SF1014736887276|ALFA|DAY
SF1014861299540|ECHO|DAY
SF1016250182455|ECHO|DAY
SF1017282084873|ECHO|DAY
SF1017362467751|ECHO|DAY
SF1017856908279|ECHO|DAY
SF1018622415971|ECHO|DAY
SF1018978718795|ECHO|DAY
SF1019026222326|ALFA|DAY
SF1019057352355|ALFA|DAY
SF1019089186662|ECHO|DAY
SF1019089186671|ECHO|DAY
SF1019431263611|ALFA|DAY
SF1020373104969|ECHO|DAY
SF1020413640942|ECHO|DAY
SF1020832605925|ECHO|DAY
SF1020866364174|ECHO|DAY
SF1021235647629|ECHO|DAY
SF1021245979850|ECHO|DAY
SF1021288576987|ECHO|DAY
SF1021525578307|ALFA|DAY
SF1022032059531|ECHO|DAY
SF1022140786944|ECHO|DAY
SF1022162877309|ECHO|DAY
SF1022319344666|ECHO|DAY
SF1070014951767|ALFA|DAY
SF1070016622673|ALFA|DAY
SF1070032036936|ALFA|DAY
SF1070205389672|ALFA|DAY
SF1070516423039|ECHO|DAY
SF1070516423048|ECHO|DAY
SF1070521683694|ECHO|DAY
SF1070556032462|ECHO|DAY
SF1070556032471|ECHO|DAY
SF1070738556104|ECHO|DAY
SF1070813763971|ECHO|DAY
SF1071019926870|ALFA|DAY
SF1071039656463|ALFA|DAY
SF1071083290341|ALFA|DAY
SF1071084299968|ECHO|DAY
SF1071096792313|ALFA|DAY
SF1071108678605|ECHO|DAY
SF1071117333295|ECHO|DAY
SF1071185799466|ECHO|DAY
SF1071203620373|ECHO|DAY
SF1071246178447|ECHO|DAY
SF1071266666217|ECHO|DAY
SF1071266666235|ECHO|DAY
SF1071298141223|ALFA|DAY
SF1071309394388|ECHO|DAY
SF1071313905874|ALFA|DAY
SF1071314875181|ECHO|DAY
SF1071557016227|ECHO|DAY
SF1071623619562|ALFA|DAY
SF1071880218730|ALFA|DAY
SF1071899008595|ECHO|DAY
SF1071986969571|ECHO|DAY
SF1072101087403|ECHO|DAY
SF1072186449119|ECHO|DAY
SF1072186449128|ECHO|DAY
SF1072186449137|ECHO|DAY
SF1072228098764|ECHO|DAY
SF1072289754221|ALFA|DAY
SF1072302995218|ECHO|DAY
SF1072315843633|ALFA|DAY
SF1072639706066|ALFA|DAY
SF1072639706967|ALFA|DAY
SF1072857945329|ECHO|DAY
SF1072862630674|ECHO|DAY
SF1072939231390|ECHO|DAY
SF1073064162351|ECHO|DAY
SF1073111769150|ECHO|DAY
SF1073204274955|ECHO|DAY
SF1073251282477|ECHO|DAY
SF1073251282486|ECHO|DAY
SF1073265750479|ECHO|DAY
